fold,test_group,accuracy,macro_precision,macro_recall,macro_f1
1,p10,0.891566265060241,0.8586764705882354,0.8997641509433962,0.876115721891638
2,p11,0.7631578947368421,0.7873303167420814,0.7999999999999999,0.7884841363102234
3,p12,0.4473684210526316,0.4444444444444444,0.6041666666666666,0.46551724137931033
4,p13,0.5232558139534884,0.394524959742351,0.5320855614973262,0.44429171439480714
5,p14,0.7441860465116279,0.7862838915470495,0.6818181818181818,0.7020423836609307
